modularity_class,target,party,count
3,Shrader for Wisconsin,Dem,4
3,Steffen for Wisconsin,Rep,5
3,Stencil for Assembly,Dem,2
3,Taxpayers for Nygren,Rep,1
3,Turner For Office  Inc.,Dem,3
3,Vote Jeff Peterson,Dem,2
3,Wachs for Assembly,Dem,1
3,Welcher for Assembly,Dem,1
3,NA,NA,33
4,Adam Neylon for Assembly,Rep,1
4,Amanda For Assembly,Dem,1
4,Brian Smith for Senate,Dem,4
4,Citizens for Dale Kooyenga,Rep,2
4,Citizens for George Ferriter,Dem,1
4,Citizens for Janis Ringhand,Dem,37
4,Citizens for Peter Barca,Dem,2
4,Comm to Elect Lena C. Taylor,Dem,3
4,Committee to Elect David Gorski,Dem,36
4,Danou for Assembly,Dem,6
4,Edming for Assembly - A Bright Future for Wisconsin,Rep,1
4,Friends & Neighbors of Robin Vos,Rep,1
4,Friends for Brad Pearson,Ind,3
4,Friends for Van Stippen,Dem,6
4,Friends of Alberta Darling,Rep,1
4,Friends of Chris Rockwood,Dem,1
4,Friends of Chris Taylor,Dem,4
4,Friends of Dave Hansen,Dem,10
4,Friends of Deb Kolste,Dem,7
4,Friends of Julie Lassa,Dem,186
4,Friends of Kathy Bernier,Rep,1
4,Friends of Katrina Shankland,Dem,56
4,Friends of Lee Nerison,Rep,1
4,Friends of Mandela Barnes,Dem,3
4,Friends of Melissa Sargent,Dem,1
4,Friends of Rob Summerfield,Rep,1
4,Friends of Robert W. Wirch,Dem,1
4,Friends of Sheila Harsdorf,Rep,1
4,Friends Of Steve Doyle,Dem,3
4,Harris for Wisconsin,Dem,13
4,Hintz for Assembly,Dem,6
4,Howard White for Assembly,Dem,1
4,Jeff Wright for Assembly,Dem,3
4,Mandy Wright for Assembly,Dem,8
4,Mark Holbrook for Assembly,Dem,6
4,Meyers for Assembly,Dem,54
4,Milroy for Assembly,Dem,3
4,Murphy for Assembly Committee,Rep,1
4,Odeen for Wisconsin,Dem,1
4,Quinn for Assembly,Rep,1
4,Riemer for Assembly,Dem,2
4,Rohrkaste for Assembly,Rep,1
4,Scott Fitzgerald for Senate,Rep,3
4,Shilling for Senate,Dem,29
4,Shrader for Wisconsin,Dem,1
4,T E Pronschinske for Assembly,Rep,1
4,Tauchen for Assembly,Rep,1
4,Taxpayers for Lasee,Rep,1
4,Taxpayers for Nygren,Rep,1
4,Testin for Senate,Rep,3
4,Tranel for Assembly,Dem,1
4,Vote Jeff Peterson,Dem,1
4,Wachs for Assembly,Dem,6
4,Warren Petryk For Assembly,Rep,1
4,Zimmerman for Wisconsin,Rep,1
4,NA,NA,11
5,Brooks for Assembly,Rep,147
5,Citizens for Tiffany,Rep,4
5,Debbie Bork for Assembly,Rep,3
5,Feyen for Senate,Rep,5
5,Friends of Alberta Darling,Rep,4
5,Friends of Allison Hetz,Rep,1
5,Friends of Dave Hansen,Dem,1
5,Friends of David Moore,Rep,2
5,Friends of Julian Bradley,Rep,47
5,Friends of Julie Lassa,Dem,3
5,Friends of Kathy Bernier,Rep,2
5,Friends of Katrina Shankland,Dem,1
5,Friends of Lee Nerison,Rep,71
5,Friends of Mary,Rep,1
5,Friends of Sheila Harsdorf,Rep,14
5,Friends Of Steve Doyle,Dem,1
5,Friends of Terry Katsma,Rep,1
5,Hintz for Assembly,Dem,4
5,Kapanke for Senate,Dem,309
5,Krug for Assembly,Rep,1
5,Novak For Assembly,Dem,7
5,Olsen for Senate,Rep,12
5,Ripp for Assembly,Rep,2
5,Scott Fitzgerald for Senate,Rep,7
5,Shilling for Senate,Dem,8
5,Taxpayers for Marklein,Rep,33
5,Taxpayers for Nygren,Rep,2
5,Taxpayers for Stafsholt,Rep,1
5,Testin for Senate,Rep,1
5,Tranel for Assembly,Dem,63
5,NA,NA,8
6,Bennett For Assembly,Dem,1
6,Citizens for August,Rep,1
6,Citizens for Peter Barca,Dem,37
6,Citizens for Tiffany,Rep,1
6,Comm to Elect Lena C. Taylor,Dem,1
6,Committee to Elect David Gorski,Dem,1
6,Danou for Assembly,Dem,1
6,Dennis Hunt For Wisconsin,Dem,1
6,Duey for Senate,Rep,1
6,Forward with JoCasta,Dem,1
6,Friends & Neighbors of Robin Vos,Rep,3
6,Friends for Van Stippen,Dem,4
6,Friends of Amee Janus,Dem,22
6,FRIENDS OF ANDY MITCHELL,Dem,27
6,Friends of Chris Taylor,Dem,2
6,Friends of Dave Hansen,Dem,1
6,Friends of DC Crowley,Dem,1
6,Friends of Eric Genrich,Dem,1
6,Friends of Julie Lassa,Dem,3
6,Friends of Kathy Bernier,Rep,4
6,Friends of Katrina Shankland,Dem,1
6,Friends of La Tonya Johnson,Dem,1
6,Friends of Mandela Barnes,Dem,1
6,Friends of Mark Miller,Dem,1
6,Friends of Mary,Rep,1
6,Friends of Mason,Dem,150
6,Friends of Mike Kuglitsch,Rep,1
6,Friends of Robert W. Wirch,Dem,27
6,Friends of Sheila Harsdorf,Rep,1
6,Friends Of Steve Doyle,Dem,4
6,Friends of Steve Nass,Rep,1
6,Friends of Terese Berceau,Dem,1
6,Friends of Terry Katsma,Rep,1
6,Friends of Tod Ohnstad,Dem,57
6,Goyke For Assembly,Dem,1
6,Harris for Wisconsin,Dem,6
6,Hintz for Assembly,Dem,1
6,Krug for Assembly,Rep,1
6,Olsen for Senate,Rep,2
6,Riemer for Assembly,Dem,1
6,Scott Fitzgerald for Senate,Rep,3
6,Shilling for Senate,Dem,6
6,Shrader for Wisconsin,Dem,1
6,Steffen for Wisconsin,Rep,1
6,Taxpayers for Nygren,Rep,4
6,Testin for Senate,Rep,2
6,Tranel for Assembly,Dem,1
6,Turner For Office  Inc.,Dem,1
6,White for Assembly,Dem,11
6,NA,NA,8
7,Brian Smith for Senate,Dem,5
7,Citizens for George Ferriter,Dem,1
7,Comm to Elect Lena C. Taylor,Dem,1
7,Danou for Assembly,Dem,1
7,Dennis Hunt For Wisconsin,Dem,26
7,Friends for Van Stippen,Dem,11
7,Friends of Dave Hansen,Dem,5
7,Friends of DC Crowley,Dem,1
7,Friends of Elizabeth Riley,Dem,16
7,Friends of Jonathan Brostoff,Dem,2
7,Friends of Julie Lassa,Dem,12
7,Friends of Kathy Bernier,Rep,1
7,Friends of Katrina Shankland,Dem,1
7,Friends of Mark Miller,Dem,1
7,Friends of Rob Summerfield,Rep,1
7,Friends of Sheila Harsdorf,Rep,1
7,Friends of Sondy Pope-Roberts,Dem,1
7,Friends Of Steve Doyle,Dem,6
7,Harris for Wisconsin,Dem,13
7,Howard White for Assembly,Dem,78
7,Huftel for the 75th,Dem,231
7,Jeff Wright for Assembly,Dem,2
7,Knaack for Assembly,Dem,2
7,Mandy Wright for Assembly,Dem,12
7,Odeen for Wisconsin,Dem,170
7,Olsen for Senate,Rep,1
7,Quinn for Assembly,Rep,1
7,Riemer for Assembly,Dem,1
7,Scott J. Nelson for Assembly,Dem,9
7,Shilling for Senate,Dem,11
7,Stronger Together,Dem,6
7,Vote Jeff Peterson,Dem,181
7,Wachs for Assembly,Dem,128
7,NA,NA,14
8,Adam Jarchow for Assembly,Rep,4
8,Amanda For Assembly,Dem,1
8,Brian Smith for Senate,Dem,2
8,Brooks for Assembly,Rep,14
8,Citizens for Dale Kooyenga,Rep,6
8,Citizens for Janis Ringhand,Dem,1
8,Citizens for Tiffany,Rep,189
8,Citizens of the 81st for Dave Considine,Dem,1
8,Comm to Elect Lena C. Taylor,Dem,1
8,Committee to Elect Joan Ballweg,Rep,14
8,Cowles for Senate,Rep,51
8,Don Vruwink for Assembly,Dem,1
8,Duey for Senate,Rep,2
8,Edming for Assembly - A Bright Future for Wisconsin,Rep,2
8,Feyen for Senate,Rep,33
8,Forward with JoCasta,Dem,1
8,Friends & Neighbors of Robin Vos,Rep,3
8,Friends for Jessie,Rep,3
8,Friends for Van Stippen,Dem,4
8,Friends of Alberta Darling,Rep,30
8,Friends of Chuck Wichgers,Rep,7
8,Friends of Dave Hansen,Dem,9
8,Friends of Eric Genrich,Dem,3
8,Friends of Eric Wimberger,Rep,26
8,Friends of Janel,Rep,1
8,Friends of John Macco,Rep,55
8,Friends of Julian Bradley,Rep,1
8,Friends of Julie Lassa,Dem,18
8,Friends of Julie Meyer,Dem,3
8,Friends of Kathy Bernier,Rep,5
8,Friends of Katrina Shankland,Dem,5
8,Friends of Lee Nerison,Rep,2
8,Friends of Mary,Rep,71
8,Friends of Mike Kuglitsch,Rep,4
8,Friends of Pat Snyder,Rep,2
8,Friends of Rob Summerfield,Rep,3
8,Friends of Robb Kahl,Dem,1
8,Friends of Ron Tusler,Rep,15
8,Friends of Sheila Harsdorf,Rep,12
8,Friends Of Steve Doyle,Dem,2
8,Friends of Swearingen,Rep,50
8,Friends of Terry Katsma,Rep,7
8,Gannon for Assembly,Rep,12
8,Goyke For Assembly,Dem,1
8,Hintz for Assembly,Dem,2
8,Jacque for Assembly,Rep,8
8,Jagler For Assembly,Rep,1
8,Joel Kitchens for Assembly,Rep,53
8,Joseph for Assembly,Dem,1
8,Kapanke for Senate,Dem,12
8,Krug for Assembly,Rep,6
8,Mandy Wright for Assembly,Dem,2
8,Meyers for Assembly,Dem,1
8,Michael Schraa for Assembly,Rep,8
8,Murphy for Assembly Committee,Rep,1
8,Mursau for Assembly,Rep,21
8,Nancy 4 Wisconsin,Rep,2
8,Novak For Assembly,Dem,5
8,Olsen for Senate,Rep,128
8,Petersen- Republican for 40th Assembly,Rep,37
8,Quinn for Assembly,Rep,3
8,Ripp for Assembly,Rep,90
8,Rohrkaste for Assembly,Rep,6
8,Sanfelippo for Assembly,Rep,1
8,Scott Fitzgerald for Senate,Rep,45
8,Shilling for Senate,Dem,21
8,Steffen for Wisconsin,Rep,52
8,Steineke for Assembly,Rep,52
8,T E Pronschinske for Assembly,Rep,22
8,Tauchen for Assembly,Rep,34
8,Taxpayers for Kapenga,Rep,2
8,Taxpayers for Lasee,Rep,7
8,Taxpayers for Nygren,Rep,115
8,Taxpayers for Stafsholt,Rep,4
8,Testin for Senate,Rep,11
8,Tranel for Assembly,Dem,3
8,Vorpagel for Assembly,Rep,1
8,Warren Petryk For Assembly,Rep,1
8,Zammit for Wisconsin,Rep,3
8,Zimmerman for Wisconsin,Rep,3
8,NA,NA,54
9,Adam Jarchow for Assembly,Rep,70
9,Amy Loudenbeck for Assembly,Rep,1
9,Brooks for Assembly,Rep,10
9,Citizens for Dale Kooyenga,Rep,2
9,Citizens for Peter Barca,Dem,1
9,Citizens for Tiffany,Rep,20
9,Comm to Elect Lena C. Taylor,Dem,1
9,Committee to Elect Joan Ballweg,Rep,1
9,Duey for Senate,Rep,1
9,Edming for Assembly - A Bright Future for Wisconsin,Rep,2
9,Feyen for Senate,Rep,22
9,Forward with JoCasta,Dem,1
9,Friends of Alberta Darling,Rep,4
9,Friends of Dave Hansen,Dem,1
9,Friends of David Heaton,Rep,17
9,Friends of Julian Bradley,Rep,2
9,Friends of Julie Lassa,Dem,5
9,Friends of Kathy Bernier,Rep,92
9,Friends of Katrina Shankland,Dem,1
9,Friends of Mary,Rep,14
9,Friends of Mason,Dem,1
9,Friends of Michael Hanke,Rep,1
9,Friends of Pat Snyder,Rep,63
9,Friends of Paul Berning,Rep,33
9,Friends of Rob Summerfield,Rep,30
9,Friends of Sheila Harsdorf,Rep,357
9,Friends of Swearingen,Rep,4
9,Friends of Terry Katsma,Rep,1
9,Harris for Wisconsin,Dem,1
9,Hintz for Assembly,Dem,1
9,Kapanke for Senate,Dem,20
9,Krug for Assembly,Rep,3
9,Kulp For Assembly,Rep,36
9,Nancy 4 Wisconsin,Rep,5
9,Novak For Assembly,Dem,86
9,Odeen for Wisconsin,Dem,1
9,Olsen for Senate,Rep,3
9,Sanfelippo for Assembly,Rep,2
9,Scott Fitzgerald for Senate,Rep,27
9,Shilling for Senate,Dem,2
9,Spiros for Assembly,Rep,20
9,Steffen for Wisconsin,Rep,1
9,Steineke for Assembly,Rep,1
9,Taxpayers for Kapenga,Rep,1
9,Taxpayers for Nygren,Rep,7
9,Taxpayers for Stafsholt,Rep,53
9,Testin for Senate,Rep,11
9,Tranel for Assembly,Dem,1
9,Wachs for Assembly,Dem,2
9,Warren Petryk For Assembly,Rep,38
9,Zimmerman for Wisconsin,Rep,24
9,NA,NA,14
10,Adam Jarchow for Assembly,Rep,1
10,Alicia for Assembly,Dem,1
10,Bowen 4 Action,Dem,2
10,Brian Smith for Senate,Dem,6
10,Citizens for August,Rep,1
10,Citizens for Dale Kooyenga,Rep,2
10,Citizens for George Ferriter,Dem,5
10,Citizens for Janis Ringhand,Dem,6
10,Citizens for Peter Barca,Dem,1
10,Citizens for Tiffany,Rep,2
10,Comm to Elect Lena C. Taylor,Dem,5
10,Danou for Assembly,Dem,1
10,Don Vruwink for Assembly,Dem,25
10,Edgar Lin for Milwaukee,Dem,1
10,Elect Clinton Anderson,Dem,10
10,Evan for Wisconsin,Dem,4
10,Forward with JoCasta,Dem,5
10,Friends for Van Stippen,Dem,6
10,Friends of Alberta Darling,Rep,1
10,FRIENDS OF ANDY MITCHELL,Dem,2
10,Friends of Anissa Welch,Dem,24
10,Friends of Chris Taylor,Dem,99
10,Friends of Dave Hansen,Dem,7
10,Friends of DC Crowley,Dem,2
10,Friends of Deb Kolste,Dem,3
10,Friends of Dianne Hesselbein,Dem,59
10,Friends of Eric Genrich,Dem,1
10,Friends of Fred Risser,Dem,7
10,Friends of Gary Hebl,Dem,33
10,Friends of Jimmy Anderson,Dem,21
10,Friends of Jonathan Brostoff,Dem,2
10,Friends of Julie Lassa,Dem,11
10,Friends of Katrina Shankland,Dem,3
10,Friends of La Tonya Johnson,Dem,4
10,Friends of Lisa Subeck,Dem,30
10,Friends of Mandela Barnes,Dem,3
10,Friends of Mark Miller,Dem,29
10,Friends of Mark Spreitzer,Dem,47
10,Friends of Mary,Rep,1
10,Friends of Mason,Dem,2
10,Friends of Melissa Sargent,Dem,66
10,Friends of Mike Kuglitsch,Rep,1
10,Friends of Robb Kahl,Dem,4
10,Friends of Sondy Pope-Roberts,Dem,25
10,Friends Of Steve Doyle,Dem,2
10,Friends of Terese Berceau,Dem,14
10,Friends of Tony Hartmann,Dem,4
10,Goyke For Assembly,Dem,7
10,Harris for Wisconsin,Dem,25
10,Hintz for Assembly,Dem,4
10,Huftel for the 75th,Dem,1
10,Jeff Wright for Assembly,Dem,5
10,Julia for Assembly,Dem,2
10,Krug for Assembly,Rep,1
10,Mandy Wright for Assembly,Dem,11
10,Meyers for Assembly,Dem,1
10,Murphy for Assembly Committee,Rep,1
10,Nancy 4 Wisconsin,Rep,1
10,Nanette for Assembly,Dem,1
10,Novak For Assembly,Dem,1
10,Odeen for Wisconsin,Dem,5
10,Olsen for Senate,Rep,4
10,Petersen- Republican for 40th Assembly,Rep,1
10,Quinn for Assembly,Rep,1
10,Riemer for Assembly,Dem,2
10,Ripp for Assembly,Rep,2
10,Rob Brooks For Assembly,Rep,1
10,Rohrkaste for Assembly,Rep,1
10,Scott Fitzgerald for Senate,Rep,1
10,Shilling for Senate,Dem,11
10,Shrader for Wisconsin,Dem,3
10,Steineke for Assembly,Rep,1
10,Taxpayers for Kapenga,Rep,1
10,Taxpayers for Marklein,Rep,3
10,Taxpayers for Nygren,Rep,2
10,Wachs for Assembly,Dem,3
10,Welcher for Assembly,Dem,29
10,NA,NA,17
11,Allen for Wisconsin,Rep,1
11,Amy Loudenbeck for Assembly,Rep,1
11,Bowen 4 Action,Dem,2
11,Brian Smith for Senate,Dem,7
11,Brooks for Assembly,Rep,2
11,Citizens for August,Rep,2
11,Citizens for Dale Kooyenga,Rep,3
11,Citizens for Janis Ringhand,Dem,2
11,Citizens for Marina Dimitrijevic,Dem,4
11,Citizens for Peter Barca,Dem,3
11,Citizens for Tiffany,Rep,2
11,Citizens for Zepnick,Dem,22
11,Comm to Elect Lena C. Taylor,Dem,61
11,Committee to Elect Joan Ballweg,Rep,1
11,Cowles for Senate,Rep,1
11,Dennis Hunt For Wisconsin,Dem,1
11,Don Vruwink for Assembly,Dem,1
11,Edgar Lin for Milwaukee,Dem,17
11,Edming for Assembly - A Bright Future for Wisconsin,Rep,1
11,Feyen for Senate,Rep,5
11,Forward with JoCasta,Dem,52
11,Friends & Neighbors of Robin Vos,Rep,1
11,Friends and Neighbors of Tom Weatherston,Rep,1
11,Friends for Jessie,Rep,1
11,Friends for Van Stippen,Dem,15
11,Friends of Alberta Darling,Rep,7
11,Friends of Chris Rockwood,Dem,14
11,Friends of Chris Taylor,Dem,11
11,Friends of Christine Sinicki,Dem,11
11,Friends of Darrol Gibson,Dem,13
11,Friends of Dave Hansen,Dem,7
11,Friends of DC Crowley,Dem,32
11,Friends of Dianne Hesselbein,Dem,1
11,Friends of Eric Genrich,Dem,2
11,Friends of Eric Wimberger,Rep,1
11,Friends of Fred Kessler,Dem,11
11,Friends of Jonathan Brostoff,Dem,46
11,Friends of Julie Lassa,Dem,22
11,Friends of Kathy Bernier,Rep,2
11,Friends of Katrina Shankland,Dem,5
11,Friends of La Tonya Johnson,Dem,68
11,Friends of Lee Nerison,Rep,1
